rMAGs,Completeness (%),Contamination (%),EGS (Mbp),group,phylum,class,order,family,genus
ERR599074_bin.1,94.26708075,1.086956522,2.189919477,Marine,Proteobacteria,c__Alphaproteobacteria,o__Micavibrionales,f__Micavibrionaceae,g__TMED27
ERR599074_bin.16,94.70524848,1.670258621,3.45785261,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Spongiibacteraceae,g__Spongiibacter
ERR599074_bin.9,89.60746461,1.621621622,1.927241636,Marine,Actinobacteriota,c__Actinomycetia,o__Nanopelagicales,f__S36-B12,g__S36-B12
ERR599075_bin.15,87.87337662,2.897481307,3.132586746,Marine,Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas
ERR599075_bin.16,96.16402116,0.757575758,2.763833106,Marine,Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae,g__Microbacterium
ERR599075_bin.17,94.44444444,1.282051282,2.780286943,Marine,Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__UBA11606,g__UBA11606
ERR599075_bin.6,99.50248756,3.067993367,4.385438517,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Thalassospiraceae,g__Thalassospira
ERR599077_bin.17,86.12941644,1.892285298,1.687077231,Marine,Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__Puniceispirillaceae,g__HIMB100
ERR599077_bin.20,84.65268802,0.473933649,1.689018662,Marine,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae_A,g__UBA7377
ERR599077_bin.21,91.50910364,1.680672269,4.371671158,Marine,Myxococcota,c__UBA796,o__UBA796,f__UBA796,g__UBA796
ERR599077_bin.22,87.99283154,0,2.397838509,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__UA16,g__UA16
ERR599077_bin.26,93.14814815,1.984126984,2.014478967,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__UBA8316
ERR599077_bin.7,84.83893557,2.521008403,4.272002618,Marine,SAR324,c__SAR324,o__SAR324,f__NAC60-12,g__JCVI-SCAAA005
ERR599078_bin.1,85.34050179,0.586510264,2.09172344,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__UA16,g__UBA974
ERR599078_bin.15,93.35917313,3.084625323,1.863457497,Marine,Proteobacteria,c__Gammaproteobacteria,o__Coxiellales,f__Coxiellaceae,g__UBA9148
ERR599078_bin.17,82.68292683,3.848238482,2.781407548,Marine,Proteobacteria,c__Gammaproteobacteria,o__Arenicellales,f__UBA868,g__UBA868
ERR599078_bin.2,76.99119912,4.739902562,2.02377944,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__UBA3537
ERR599078_bin.8,85.01673796,3.339222615,2.126189147,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__UBA8316
ERR599080_bin.17,97.65395894,0.537634409,1.760970623,Marine,Proteobacteria,c__Alphaproteobacteria,o__TMED109,f__TMED109,g__TMED109
ERR599090_bin.17,80.2105048,1.683016554,2.580810576,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Nitrincolaceae,g__ASP10-02a
ERR599090_bin.19,94.67741935,1.679700228,2.908121342,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__UA16,g__ASP10-05a
ERR599090_bin.2,82.79106858,4.385964912,2.287021997,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__SCGC-AAA160-P02
ERR599090_bin.21,85.83255487,1.539923954,2.16696682,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Patiriisocius
ERR599093_bin.10,84.93333333,2.061538462,2.344500425,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__Poseidonia
ERR599093_bin.4,96.71104928,1.351351351,2.333138854,Marine,Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__MB11C04,g__MB11C04
ERR599102_bin.14,77.26708075,0.797101449,1.451707462,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_B,f__TMED25,g__TMED25
ERR599106_bin.13,81.33333333,0,2.308792623,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-L1
ERR599114_bin.3,81.99392782,2.282025106,3.572776748,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Oleiphilaceae,g__Marinobacter
ERR599118_bin.13,81.33333333,0,2.20129918,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-N2
ERR599118_bin.16,77.16491228,0,2.355678178,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-L3
ERR599118_bin.17,97.92960663,0,3.820751588,Marine,Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__Roseibacillus_B
ERR599118_bin.2,100,2.420968387,3.52714396,Marine,Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__DEV007,g__Arctic95D-9
ERR599118_bin.20,98.0349345,3.817841547,2.104030535,Marine,Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__Puniceispirillaceae,g__UBA8309
ERR599118_bin.22,85.51548012,2.530253025,1.559176413,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__UBA724
ERR599118_bin.4,85.86309524,2.734375,3.295540041,Marine,Bdellovibrionota,c__Bacteriovoracia,o__Bacteriovoracales,f__Bacteriovoracaceae,g__UBA1511
ERR599119_bin.11,84.4,0,2.363768957,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-P
ERR599119_bin.5,99.46236559,0,2.755723719,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Vicingaceae,g__UBA852
ERR599119_bin.9,81.6,0,1.734903186,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-O5
ERR599120_bin.1,96.95945946,1.013513514,1.981582871,Marine,Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__DSM-45221,g__UBA7441
ERR599123_bin.1,86.58865887,5.390539054,1.760350577,Marine,Chloroflexota,c__Dehalococcoidia,o__UBA6952,f__UBA6952,g__UBA6952
ERR599123_bin.10,77.67179487,0,2.082331177,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-L1
ERR599123_bin.12,78.25757576,2.785923754,2.220981452,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__UA16,g__UBA11663
ERR599123_bin.24,75.69122807,0.842105263,1.769854951,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-O5
ERR599123_bin.31,95.609319,0.17921147,1.753512627,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__BACL11,g__GCA-002697625
ERR599123_bin.32,86.13333333,0.8,2.044633643,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-K1
ERR599126_bin.11,82.13333333,0.8,1.706143466,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-O5
ERR599126_bin.6,97.18013468,1.767676768,2.378243063,Marine,Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae,g__Pseudolysinimonas
ERR599133_bin.14,93.7639515,1.492537313,3.709876381,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Casp-alpha2,g__UBA1479
ERR599133_bin.15,82.8,0,1.681951691,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-O2
ERR599133_bin.7,85.6,1.6,1.657583799,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-O5
ERR599134_bin.3,95.0062383,0.655021834,2.084125506,Marine,Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__Puniceispirillaceae,g__UBA8309
ERR599135_bin.5,82.33846154,1.6,2.192163979,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__Poseidonia
ERR599135_bin.8,75.29122807,1.242105263,1.782837134,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-O5
ERR599136_bin.1,97.421981,1.399253731,3.35432462,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Casp-alpha2,g__UBA3470
ERR599136_bin.11,98.63636364,1.212121212,3.877478874,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Thioclava
ERR599136_bin.12,78.63372093,4.011627907,1.84347101,Marine,Proteobacteria,c__Gammaproteobacteria,o__Coxiellales,f__Coxiellaceae,g__CACHNP01
ERR599136_bin.13,90.12533875,4.471544715,2.599979106,Marine,Proteobacteria,c__Gammaproteobacteria,o__Arenicellales,f__UBA868,g__UBA868
ERR599136_bin.15,99.13043478,0,3.769530526,Marine,Proteobacteria,c__Alphaproteobacteria,o__Parvibaculales,f__Parvibaculaceae,g__Parvibaculum
ERR599136_bin.19,78.75432526,2.352941176,7.043042251,Marine,Planctomycetota,c__Planctomycetia,o__Pirellulales,f__Pirellulaceae,g__GCA-2701545
ERR599136_bin.25,90.10740166,2.657004831,2.993011156,Marine,Proteobacteria,c__Gammaproteobacteria,o__Nevskiales,f__Salinisphaeraceae,g__Salinisphaera
ERR599136_bin.28,82.00993252,0,2.084596277,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-L2
ERR599136_bin.29,88.0355846,2.530864198,3.851395513,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__HTCC2089,g__UBA9659
ERR599136_bin.30,78.67412597,1.799746515,2.740373747,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Aequorivita
ERR599136_bin.34,98.86363636,1.704545455,2.884061923,Marine,Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__SM1A02,g__UBA1668
ERR599136_bin.50,96.23824451,9.059561129,3.116907666,Marine,Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__UBA1100,g__UBA1100
ERR599136_bin.9,77.7025641,1.066666667,2.159594996,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-L1
ERR599137_bin.7,79.9620133,3.162393162,2.598176898,Marine,Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__TK06,g__MedAcidi-G3
ERR599138_bin.4,84.72049689,1.304347826,1.470519031,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_B,f__TMED25,g__TMED25
ERR599138_bin.7,87.3279268,1.892285298,2.277448221,Marine,Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__Puniceispirillaceae,g__UBA8309
ERR599142_bin.1,88.85304659,2.042196155,2.251187853,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__UA16,g__UA16
ERR599142_bin.13,82.46753247,5.009696186,1.533528623,Marine,Proteobacteria,c__Alphaproteobacteria,o__TMED109,f__TMED131,g__GCA-2732015
ERR599142_bin.14,90.70945946,3.603603604,1.409463078,Marine,Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__DSM-45221,g__GCA-2690565
ERR599142_bin.17,97.63513514,0.675675676,1.886857083,Marine,Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__UBA3534,g__UBA3534
ERR599142_bin.18,95.53571429,2.5,2.498469551,Marine,Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__UBA840,g__UBA3535
ERR599142_bin.22,90.60427471,1.149614961,1.9552293,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__UBA3537
ERR599143_bin.5,75.43859649,2.631578947,1.556311685,Marine,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Methylophilaceae,g__BACL14
ERR599143_bin.7,82.79841897,1.699981178,2.638425551,Marine,Proteobacteria,c__Alphaproteobacteria,o__UBA7985,f__UBA7985,g__UBA7985
ERR599144_bin.12,89.8184459,1.864197531,2.28369457,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Porticoccaceae,g__HTCC2207
ERR599144_bin.6,79.47194719,4.167845356,1.663616668,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__GCA001735715
ERR599145_bin.15,75.79445571,1.149425287,2.668327772,Marine,Planctomycetota,c__Planctomycetia,o__Pirellulales,f__UBA1268,g__UBA1268
ERR599145_bin.20,78.70658753,5.494505495,1.708430417,Marine,Marinisomatota,c__Marinisomatia,o__Marinisomatales,f__TCS55,g__TMED108
ERR599145_bin.8,94.93243243,1.689189189,3.976612012,Marine,Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__AAA164-E04,g__UBA7971
ERR599147_bin.13,94.55721747,2.834757835,2.348570912,Marine,Nitrospinota,c__UBA9942,o__SZUA-224,f__,g__
ERR599147_bin.26,76.62220026,2.445652174,1.870962712,Marine,Cyanobacteria,c__Cyanobacteriia,o__PCC-6307,f__Cyanobiaceae,g__
ERR599147_bin.28,83.82352941,0,1.940319158,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__MED-G11
ERR599147_bin.35,96.63865546,0,1.73220953,Marine,Marinisomatota,c__Marinisomatia,o__Marinisomatales,f__UBA8229,g__UBA8229
ERR599147_bin.37,76.14942529,0,0.627474204,Marine,Patescibacteria,c__Paceibacteria,o__UBA9983_A,f__UBA2163,g__UBA2163
ERR599147_bin.44,87.53846154,0,1.196774517,Marine,Thermoplasmatota,c__Poseidoniia,o__MGIII,f__CG-Epi1,g__UBA8886
ERR599147_bin.45,78.04254569,4.74329592,1.869248808,Marine,Marinisomatota,c__Marinisomatia,o__SCGC-AAA003-L08,f__D37C17,g__D37C17
ERR599147_bin.51,79.64426877,5.495169082,1.877870656,Marine,Cyanobacteria,c__Cyanobacteriia,o__PCC-6307,f__Cyanobiaceae,g__
ERR599147_bin.55,88.51540616,0.887021475,4.553098149,Marine,SAR324,c__SAR324,o__SAR324,f__NAC60-12,g__UBA1014
ERR599147_bin.56,78.65853659,1.829268293,1.847625233,Marine,Proteobacteria,c__Gammaproteobacteria,o__UBA11654,f__UBA11654,g__UBA11654
ERR599147_bin.57,88.99728997,6.571815718,3.74928511,Marine,Proteobacteria,c__Gammaproteobacteria,o__Arenicellales,f__UBA868,g__UBA9619
ERR599147_bin.6,84.09122807,0,2.048803472,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-O3
ERR599150_bin.5,76.66666667,0.8,1.696115424,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-O2
ERR599151_bin.17,87.62376238,0,1.481560441,Marine,Chloroflexota,c__Dehalococcoidia,o__UBA1151,f__TMED-70,g__TMED-70
ERR599160_bin.1,80.80308031,1.881188119,1.614281268,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__UBA724
ERR599160_bin.11,93.87096774,0.806451613,4.777912878,Marine,Myxococcota,c__UBA727,o__UBA727,f__GCA-2721815,g__GCA-2721815
ERR599160_bin.18,81.97510736,2.487562189,6.515141718,Marine,Proteobacteria,c__Alphaproteobacteria,o__Ferrovibrionales,f__Ferrovibrionaceae,g__
ERR599160_bin.19,83.46666667,0,2.072868211,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-K1
ERR599160_bin.2,98.51851852,2.762345679,5.554299982,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Ketobacteraceae,g__Ketobacter
ERR599160_bin.23,97.51243781,2.487562189,3.207636875,Marine,Proteobacteria,c__Alphaproteobacteria,o__MPNO01,f__UBA830,g__UBA830
ERR599160_bin.25,84.5532937,1.968848644,2.826863802,Marine,Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__UBA1100,g__UBA1100
ERR599160_bin.27,98.23529412,0,4.868922156,Marine,Spirochaetota,c__Leptospirae,o__Leptospirales,f__Leptonemataceae,g__UBA3465
ERR599160_bin.3,91.69550173,1.176470588,4.022272453,Marine,Planctomycetota,c__Planctomycetia,o__Pirellulales,f__Pirellulaceae,g__UBA721
ERR599160_bin.30,82.12596465,4.592979836,1.182734261,Marine,Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosopelagicus
ERR599160_bin.32,75.04,0,2.348198294,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-L2
ERR599160_bin.33,80.68717949,3.2,2.239705304,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-L2
ERR599160_bin.34,85.6,0.061538462,2.423081303,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__Poseidonia
ERR599160_bin.35,78.90826873,0.19379845,1.477177329,Marine,Proteobacteria,c__Gammaproteobacteria,o__UBA7916,f__UBA729,g__UBA729
ERR599160_bin.37,82.93333333,1.6,2.285576674,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-L3
ERR599160_bin.38,76.88793797,1.79304005,2.766663997,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halieaceae,g__Luminiphilus
ERR599160_bin.39,87.97491039,1.88172043,1.733929368,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__BACL11,g__GCA-002697625
ERR599160_bin.4,91.20399251,1.892285298,1.911189289,Marine,Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__Puniceispirillaceae,g__HIMB100
ERR599160_bin.40,87.09677419,0.987292278,1.573714578,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__UBA7312,g__UBA7312
ERR599160_bin.41,77.3219973,3.6,2.205389184,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__Poseidonia
ERR599160_bin.42,82.93333333,1.6,2.527880678,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-L4
ERR599160_bin.48,75.11505588,1.479289941,3.84689913,Marine,Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Pseudodesulfovibrio
ERR599160_bin.49,77.29103349,3.811149033,2.579584832,Marine,Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Qipengyuania
ERR599160_bin.52,94.57478006,0.537634409,2.950284198,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__GCA-002722245,g__GCA-002722245
ERR599160_bin.53,76.66666667,0.16,2.322275663,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-K2
ERR599160_bin.54,91.76136364,0,6.171388235,Marine,Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__UBA7800
ERR599160_bin.55,80.27777778,4.067460317,4.527626472,Marine,Bdellovibrionota,c__Bacteriovoracia,o__Bacteriovoracales,f__Bacteriovoracaceae,g__UBA7317
ERR599162_bin.1,85.48387097,1.344086022,1.788480975,Marine,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Schleiferiaceae,g__UBA10364
ERR599162_bin.10,77.73333333,0,1.727117496,Marine,Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-O5
ERR599162_bin.12,92.22312083,3.30615942,3.911468822,Marine,Proteobacteria,c__Gammaproteobacteria,o__Nevskiales,f__OUC007,g__Abyssibacter
ERR599162_bin.19,82.31884058,2.01863354,3.122314397,Marine,Proteobacteria,c__Alphaproteobacteria,o__Thalassobaculales,f__Thalassobaculaceae,g__GCA-002701455
ERR599162_bin.27,86.75213675,6.695156695,2.568090504,Marine,Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Ilumatobacteraceae,g__Casp-actino5
ERR599162_bin.31,94.0315514,1.574474908,2.43979884,Marine,Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae,g__Idiomarina
ERR599162_bin.7,89.9158735,0.673400673,2.351854658,Marine,Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae,g__Idiomarina
ERR599163_bin.16,97.63025382,0.95959596,4.236034727,Marine,Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae,g__Alteromonas
ERR599163_bin.5,81.03448276,0,2.218760383,Marine,Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__UBA8649,g__UBA8649
ERR599163_bin.9,95.90620032,0,3.831788756,Marine,Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__MB11C04,g__MB11C04
ERR599164_bin.18,76.60375119,2.136752137,1.847325181,Marine,SAR324,c__SAR324,o__SAR324,f__NAC60-12,g__Arctic96AD-7
ERR599164_bin.9,81.89655172,1.724137931,3.593843124,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halomonadaceae,g__Halomonas
ERR599167_bin.14,96.79933665,0.124378109,2.68174488,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Casp-alpha2,g__Casp-alpha2
ERR599167_bin.15,88.15261044,0,1.031456692,Marine,Proteobacteria,c__Alphaproteobacteria,o__Pelagibacterales,f__Pelagibacteraceae,g__AAA240-E13
ERR599167_bin.2,80.17570665,0,3.082468622,Marine,Marinisomatota,c__Marinisomatia,o__Marinisomatales,f__UBA1611,g__UBA2134
ERR599167_bin.20,97.43589744,2.564102564,3.627027634,Marine,Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__UBA823,g__UBA2161
ERR599167_bin.22,87.19841652,3.42039801,5.116582859,Marine,Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__UBA2165,g__GCA-2687515
ERR599167_bin.25,96.58119658,1.282051282,2.143287154,Marine,Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__MedAcidi-G1,g__UBA3125
ERR599167_bin.28,96.03960396,1.98019802,3.819471469,Marine,Chloroflexota,c__Dehalococcoidia,o__SAR202,f__UBA11138,g__UBA2160
ERR599167_bin.29,77.95733678,1.098901099,2.337494287,Marine,Marinisomatota,c__Marinisomatia,o__Marinisomatales,f__S15-B10,g__UBA2125
ERR599167_bin.3,84.80348035,3.894389439,1.072452928,Marine,Chloroflexota,c__Dehalococcoidia,o__Dehalococcoidales,f__UBA2162,g__UBA2162
ERR599167_bin.34,82.16510903,0.934579439,1.070082986,Marine,Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__GW2011-AR4,g__GCA-2688925
ERR599167_bin.40,77.72990271,4.675925926,4.001080551,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__HTCC2089,g__UBA2168
ERR599167_bin.41,97.56097561,0.609756098,2.343561565,Marine,Proteobacteria,c__Gammaproteobacteria,o__Arenicellales,f__UBA5680,g__UBA5680
ERR599167_bin.43,89.70355731,4.666666667,4.399142796,Marine,Proteobacteria,c__Alphaproteobacteria,o__UBA2966,f__UBA2966,g__GCA-2690215
ERR599167_bin.44,82.78388278,0,2.068215385,Marine,Marinisomatota,c__Marinisomatia,o__Marinisomatales,f__TCS55,g__UBA2126
ERR599167_bin.6,91.16465863,1.385220024,1.180091554,Marine,Proteobacteria,c__Alphaproteobacteria,o__Pelagibacterales,f__Pelagibacteraceae,g__AG-414-E02
ERR599169_bin.7,85.44753086,1.080246914,2.857274014,Marine,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__HTCC2089,g__UBA4421
ERR599172_bin.11,82.8,0,1.231555556,Marine,Thermoplasmatota,c__Poseidoniia,o__MGIII,f__CG-Epi1,g__CG-Epi1
ERR599172_bin.14,90.96273292,0.869565217,1.902344809,Marine,Proteobacteria,c__Alphaproteobacteria,o__Micavibrionales,f__Micavibrionaceae,g__UBA2137
ERR599172_bin.18,96.58119658,2.136752137,2.354078175,Marine,Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__MedAcidi-G1,g__S20-B6
ERR599172_bin.2,96.34146341,1.829268293,2.761672636,Marine,Proteobacteria,c__Gammaproteobacteria,o__Arenicellales,f__UBA868,g__UBA868
ERR599172_bin.23,93.08695652,2.768115942,1.667991944,Marine,Proteobacteria,c__Alphaproteobacteria,o__UBA11136,f__UBA11136,g__UBA11136
ERR599172_bin.29,86.74854557,0.064641241,2.227301934,Marine,Marinisomatota,c__Marinisomatia,o__Marinisomatales,f__S15-B10,g__UBA2146
ERR599172_bin.3,96.4516129,0.64516129,3.12677618,Marine,Desulfobacterota,c__Desulfobacteria,o__Desulfobacterales,f__UBA2156,g__UBA2156
ERR599172_bin.31,89.01098901,1.098901099,2.224391947,Marine,Marinisomatota,c__Marinisomatia,o__Marinisomatales,f__TCS55,g__TCS55
ERR599172_bin.32,89.69017094,3.4662868,1.971878183,Marine,Nitrospinota,c__Nitrospinia,o__Nitrospinales,f__Nitrospinaceae,g__Nitromaritima
ERR599172_bin.6,94.95798319,0,1.812609053,Marine,Proteobacteria,c__Alphaproteobacteria,o__UBA1280,f__UBA2136,g__UBA2136
ERR599172_bin.9,75.49111808,0,0.536384955,Marine,Patescibacteria,c__Paceibacteria,o__UBA9983_A,f__UBA2163,g__UBA2163
ERR671919_bin.10,95.25,3.85,4.048599269,Soil,Actinobacteriota,c__UBA4738,o__CADDZG01,f__WHSQ01,g__
ERR671919_bin.5,77.76,4.93,2.433102325,Soil,Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Nitrososphaera
ERR671919_bin.7,96.58,1.28,5.26346018,Soil,Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__JACDCH01,g__
ERR671919_bin.9,88.11,1.29,2.676197739,Soil,Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__TH5896
ERR8977345_bin.11,96.81372549,0.980392157,2.525707107,WWTP,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Kaistella
ERR8977345_bin.18,80.22297396,5.595512083,1.653987998,WWTP,Firmicutes,c__Negativicutes,o__Veillonellales,f__Dialisteraceae,g__Dialister
ERR8977345_bin.29,87.45609834,1.62835249,2.526166913,WWTP,Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Moraxella_A
ERR8977345_bin.32,88.91057872,3.408029879,2.449216227,WWTP,Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__Akkermansia
ERR8977345_bin.7,93.01075269,1.075268817,3.013965354,WWTP,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Empedobacter
