genome,completeness,contamination,length,N50
ERR4682408_bin.43.fa,80.19,3.04,2028713,2703
ERR4682408_bin.45.fa,97.9,2.96,1736545,11292
ERR4682408_bin.47.fa,62.25,0.0,842888,3243
ERR4682408_bin.5.fa,70.54,0.87,1084221,6214
ERR4682408_bin.50.fa,94.27,3.23,2983898,21278
ERR4682408_bin.52.fa,88.9,2.4,2549983,15253
ERR4682408_bin.53.fa,87.36,3.14,2875177,6001
ERR4682408_bin.54.fa,65.15,0.0,560616,45704
ERR4682408_bin.55.fa,71.14,1.77,1561192,2342
ERR4682408_bin.56.fa,98.31,2.98,2797927,9075
ERR4682408_bin.57.fa,97.18,2.34,2279954,24257
ERR4682408_bin.58.fa,71.32,3.22,1803228,5113
ERR4682408_bin.59.fa,91.33,1.21,2603649,46413
ERR4682408_bin.6.fa,93.0,1.12,2415869,43174
ERR4682408_bin.60.fa,64.31,2.42,1718373,5082
ERR4682408_bin.61.fa,95.76,1.0,2184886,8246
ERR4682408_bin.62.fa,63.2,0.11,704706,73470
ERR4682408_bin.63.fa,85.76,3.09,1896472,4690
ERR4682408_bin.65.fa,56.44,1.1,657901,9112
ERR4682408_bin.66.fa,70.13,1.42,1357545,5969
ERR4682408_bin.67.fa,94.55,0.12,1960702,45882
ERR4682408_bin.68.fa,85.61,4.92,1864148,8512
ERR4682408_bin.69.fa,85.13,2.86,3258493,4962
ERR4682408_bin.7.fa,93.02,1.17,2472854,8981
ERR4682408_bin.70.fa,66.33,0.93,771176,20324
ERR4682408_bin.71.fa,66.43,2.63,1462161,2000
ERR4682408_bin.73.fa,87.25,4.93,2119976,7719
ERR4682408_bin.74.fa,95.69,2.7,1412292,8946
ERR4682408_bin.75.fa,63.74,1.06,1033516,3191
ERR4682408_bin.76.fa,73.6,2.16,1926054,8400
ERR4682408_bin.78.fa,99.92,0.1,2304872,42678
ERR4682408_bin.80.fa,94.51,2.2,2035482,12385
ERR4682408_bin.83.fa,73.7,3.28,1833433,4297
ERR4682408_bin.84.fa,73.44,0.69,1707178,3909
ERR4682408_bin.85.fa,82.2,1.77,1189090,6986
ERR4682408_bin.86.fa,88.2,5.48,2409175,7286
ERR4682408_bin.87.fa,63.17,2.24,1723769,2053
ERR4682408_bin.88.fa,83.21,3.01,2924886,13433
ERR4682408_bin.9.fa,68.84,3.1,944231,5354
ERR4682408_bin.91.fa,71.86,3.65,1448462,2976
ERR4682439_bin.1.fa,87.58,3.89,2292031,7990
ERR4682439_bin.10.fa,74.29,1.72,2112117,6335
ERR4682439_bin.13.fa,75.76,2.86,1180088,4358
ERR4682439_bin.14.fa,84.11,5.67,3344979,6813
ERR4682439_bin.16.fa,93.15,6.01,2101492,3987
ERR4682439_bin.17.fa,88.71,3.26,2083014,4016
ERR4682439_bin.18.fa,99.01,1.49,3770452,42465
ERR4682439_bin.19.fa,64.6,0.79,1171253,6727
ERR4682439_bin.2.fa,61.7,2.04,1776667,5347
ERR4682439_bin.20.fa,78.48,2.23,1795101,3265
ERR4682439_bin.21.fa,54.18,0.0,1901184,9278
ERR4682439_bin.22.fa,89.94,1.1,1739434,20607
ERR4682439_bin.23.fa,86.14,2.66,1657015,10964
ERR4682439_bin.25.fa,83.67,2.5,1612583,9243
ERR4682439_bin.26.fa,51.72,0.0,1787274,9456
ERR4682439_bin.27.fa,96.24,0.68,2320389,8297
ERR4682439_bin.29.fa,62.04,0.8,1466581,2173
ERR4682439_bin.3.fa,80.55,3.82,2090337,4926
ERR4682439_bin.30.fa,88.04,2.47,2924819,18817
ERR4682439_bin.31.fa,94.1,1.02,2809756,8943
ERR4682439_bin.33.fa,93.7,1.71,1923871,11567
ERR4682439_bin.34.fa,91.35,1.85,1445508,7497
ERR4682439_bin.35.fa,84.54,2.68,3176469,7733
ERR4682439_bin.37.fa,81.71,0.0,2641302,26533
ERR4682439_bin.38.fa,91.98,5.57,2420790,5033
ERR4682439_bin.39.fa,97.54,4.25,1708988,6201
ERR4682439_bin.4.fa,89.34,3.26,1640516,6433
ERR4682439_bin.40.fa,94.39,1.76,1904436,15159
ERR4682439_bin.42.fa,98.92,0.81,2710602,14819
ERR4682439_bin.46.fa,93.48,1.47,3653543,18502
ERR4682439_bin.49.fa,85.98,2.32,1643964,5992
ERR4682439_bin.52.fa,78.45,3.5,1645613,2922
ERR4682439_bin.7.fa,62.16,1.85,2395713,3829
ERR4682439_bin.8.fa,73.55,0.0,2309956,3110
ERR4682439_bin.9.fa,77.59,0.0,3689539,20158
ERR4682440_bin.10.fa,61.21,1.72,2194585,9390
ERR4682440_bin.11.fa,71.5,3.23,1597454,2502
ERR4682440_bin.13.fa,85.58,4.59,2069682,4258
ERR4682440_bin.14.fa,62.07,0.0,1634849,4826
ERR4682440_bin.15.fa,100.0,0.0,2093791,12950
ERR4682440_bin.16.fa,92.89,2.53,1886437,13598
ERR4682440_bin.18.fa,91.89,3.12,1845980,6920
ERR4682440_bin.2.fa,100.0,0.0,1479745,143589
ERR4682440_bin.21.fa,91.39,0.66,1763661,9167
ERR4682440_bin.23.fa,85.81,3.03,1793731,3296
ERR4682440_bin.24.fa,75.25,1.09,1395927,8927
ERR4682440_bin.26.fa,96.48,2.66,3749260,44760
ERR4682440_bin.27.fa,60.34,0.86,1699271,9927
ERR4682440_bin.28.fa,77.1,1.72,1913670,8727
ERR4682440_bin.29.fa,62.96,1.22,1167866,4408
ERR4682440_bin.3.fa,79.27,0.0,2386655,13424
ERR4682440_bin.31.fa,90.9,0.43,1792872,9203
ERR4682440_bin.32.fa,75.22,3.66,1878927,4308
ERR4682440_bin.33.fa,66.19,2.3,2113811,5658
ERR4682440_bin.34.fa,92.13,3.08,1431514,7551
ERR4682440_bin.36.fa,88.98,2.55,1502520,9978
ERR4682440_bin.4.fa,76.89,1.15,1811046,28077
ERR4682440_bin.40.fa,83.66,5.02,2128365,2778
ERR4682440_bin.5.fa,71.41,1.7,1715955,3915
ERR4682440_bin.6.fa,91.38,1.36,2095734,6499
ERR4682440_bin.9.fa,73.36,3.48,1147038,7020
ERR4682453_bin.1.fa,58.88,0.33,877345,2978
ERR4682453_bin.11.fa,72.41,2.96,1756861,5354
ERR4682453_bin.12.fa,75.0,0.0,1351767,4970
ERR4682453_bin.15.fa,84.09,2.87,2571189,6764
ERR4682453_bin.17.fa,95.42,6.7,2229895,3688
ERR4682453_bin.19.fa,88.77,3.73,2228606,4489
ERR4682453_bin.2.fa,82.26,5.18,1511137,5790
ERR4682453_bin.20.fa,83.9,2.11,1466637,8536
ERR4682453_bin.21.fa,74.36,0.41,2340552,3492
ERR4682453_bin.23.fa,66.88,2.2,1346846,2095
ERR4682453_bin.25.fa,81.66,1.99,1541090,2138
ERR4682453_bin.26.fa,70.38,2.52,2571885,3106
ERR4682453_bin.28.fa,59.01,0.71,1903294,1696
ERR4682453_bin.6.fa,94.77,1.63,2215203,9907
ERR4682467_bin.10.fa,86.53,4.56,2101488,5101
ERR4682467_bin.11.fa,88.27,1.49,1800307,9376
ERR4682467_bin.14.fa,88.59,2.54,1826898,9788
ERR4682467_bin.15.fa,99.53,1.9,3695946,49802
ERR4682467_bin.16.fa,80.61,4.31,2029403,5353
ERR4682467_bin.17.fa,83.58,2.11,2625397,4610
ERR4682467_bin.19.fa,92.66,4.9,2385026,14103
ERR4682467_bin.21.fa,82.25,0.35,1819025,8743
ERR4682467_bin.22.fa,80.51,1.46,1558291,2937
ERR4682467_bin.23.fa,76.5,3.3,2729418,8347
ERR4682467_bin.26.fa,79.56,4.11,1326452,6819
ERR4682467_bin.27.fa,78.68,4.12,1514533,2836
ERR4682467_bin.29.fa,94.94,1.35,1553137,9701
ERR4682467_bin.31.fa,81.4,0.94,1235061,5109
ERR4682467_bin.34.fa,88.7,6.67,2580856,5806
ERR4682467_bin.36.fa,82.34,4.33,1825583,6814
ERR4682467_bin.38.fa,76.43,3.52,2007023,4758
ERR4682467_bin.4.fa,80.0,1.19,2146196,6125
ERR4682467_bin.40.fa,92.99,2.16,2249731,14738
ERR4682467_bin.43.fa,58.83,0.96,1940621,3760
ERR4682467_bin.44.fa,92.55,3.23,2130775,6327
ERR4682467_bin.45.fa,81.37,2.0,1953928,3019
ERR4682467_bin.46.fa,89.21,3.39,1808712,11127
ERR4682467_bin.49.fa,97.19,7.87,1842802,8279
ERR4682467_bin.5.fa,80.0,3.82,3409038,4796
ERR4682467_bin.51.fa,72.98,0.72,2098206,4485
ERR4682467_bin.52.fa,63.35,2.34,1718023,3205
ERR4682467_bin.55.fa,73.6,4.62,1599181,2444
ERR4682467_bin.6.fa,68.86,0.61,1784353,1854
ERR4682467_bin.9.fa,59.25,1.72,1893071,5546
ERR4682780_bin.1.fa,94.76,3.59,3095853,37911
ERR4682780_bin.10.fa,74.16,1.98,3751198,6983
ERR4682780_bin.12.fa,96.97,0.0,5633678,220897
ERR4682780_bin.13.fa,91.51,3.12,1835566,18858
ERR4682780_bin.14.fa,96.96,5.52,4257744,20866
ERR4682780_bin.16.fa,89.14,1.17,3097389,5650
ERR4682780_bin.17.fa,64.67,2.11,1838524,5749
ERR4682780_bin.18.fa,79.47,2.63,1381980,7321
ERR4682780_bin.19.fa,52.54,0.0,886980,1838
ERR4682780_bin.2.fa,88.26,2.01,2391715,16458
ERR4682780_bin.21.fa,84.38,2.05,2864244,8597
ERR4682780_bin.22.fa,56.57,0.17,2152250,3743
ERR4682780_bin.23.fa,97.93,1.99,2882300,22589
ERR4682780_bin.25.fa,64.41,1.0,1657643,9765
ERR4682780_bin.27.fa,78.55,1.68,1418111,4233
ERR4682780_bin.29.fa,82.47,0.51,1785670,3367
ERR4682780_bin.3.fa,85.69,3.12,1663201,13344
ERR4682780_bin.30.fa,83.85,2.97,2296741,4399
ERR4682780_bin.32.fa,94.66,1.25,1813842,31387
ERR4682780_bin.34.fa,64.67,2.74,2618098,3604
ERR4682780_bin.35.fa,95.21,2.85,2325820,14861
ERR4682780_bin.37.fa,66.38,1.72,2145539,3330
ERR4682780_bin.38.fa,92.82,3.65,3543628,5001
ERR4682780_bin.4.fa,89.83,0.0,2033335,25099
ERR4682780_bin.40.fa,70.79,2.75,2485216,4266
ERR4682780_bin.41.fa,60.31,0.85,2320419,4479
ERR4682780_bin.42.fa,99.26,1.67,2586334,36142
ERR4682780_bin.43.fa,71.45,3.91,2540531,9821
ERR4682780_bin.44.fa,96.62,3.79,4134415,54791
ERR4682780_bin.46.fa,81.66,2.86,2501538,7797
ERR4682780_bin.47.fa,54.99,0.0,2466502,2154
ERR4682780_bin.48.fa,91.44,2.0,2988865,51753
ERR4682780_bin.5.fa,74.66,2.04,1515909,3787
ERR4682780_bin.50.fa,70.11,0.0,2158727,4161
ERR4682780_bin.51.fa,99.21,0.48,5043237,136110
ERR4682780_bin.53.fa,73.42,2.54,1605947,3735
ERR4682780_bin.54.fa,62.87,2.28,1287669,31961
ERR4682780_bin.55.fa,94.9,0.42,2627171,8585
ERR4682780_bin.56.fa,94.9,2.85,1584324,4290
ERR4682780_bin.57.fa,65.32,2.25,1611421,2568
ERR4682780_bin.58.fa,86.64,3.3,2055676,6012
ERR4682780_bin.6.fa,82.94,1.88,2586641,7630
ERR4682780_bin.61.fa,88.25,6.29,2124480,4862
ERR4682780_bin.62.fa,57.32,0.37,1504524,8334
ERR4682780_bin.63.fa,95.04,2.28,2206117,30338
ERR4682780_bin.65.fa,69.89,1.28,1977654,6355
ERR4682780_bin.66.fa,86.65,4.36,2353766,6032
ERR4682780_bin.67.fa,84.08,5.71,3862673,10219
ERR4682780_bin.7.fa,90.42,0.05,2669572,12440
ERR4682780_bin.72.fa,60.09,0.45,1451900,2072
ERR4682780_bin.8.fa,99.37,0.63,2120662,38454
ERR4682780_bin.9.fa,98.31,6.09,2285965,19521
ERR4682782_bin.11.fa,87.48,0.0,5210633,11634
ERR4682782_bin.13.fa,70.93,2.37,2472085,4196
ERR4682782_bin.15.fa,94.38,1.9,2612752,11111
ERR4682782_bin.16.fa,71.14,2.26,1804279,2144
ERR4682782_bin.17.fa,66.16,2.83,2542444,3691
ERR4682782_bin.18.fa,90.96,2.64,2218708,9075
ERR4682782_bin.19.fa,62.88,1.75,3326526,3125
ERR4682782_bin.21.fa,90.26,5.06,3490757,5669
ERR4682782_bin.23.fa,93.66,0.32,3281228,9402
ERR4682782_bin.24.fa,87.72,4.4,2478416,6052
ERR4682782_bin.25.fa,87.08,3.87,3518191,12926
ERR4682782_bin.26.fa,96.47,1.92,3023180,19067
ERR4682782_bin.27.fa,77.59,3.45,3228635,9267
ERR4682782_bin.28.fa,82.16,5.4,3551777,6838
ERR4682782_bin.29.fa,75.77,4.57,2044147,5947
ERR4682782_bin.30.fa,55.17,0.0,1868280,7809
ERR4682782_bin.31.fa,86.12,3.46,2602509,11629
ERR4682782_bin.32.fa,86.59,4.1,3133578,5777
ERR4682782_bin.33.fa,63.81,1.02,3668640,3934
ERR4682782_bin.34.fa,80.71,1.82,1901338,6531
ERR4682782_bin.36.fa,69.08,2.61,2275359,18456
ERR4682782_bin.37.fa,64.62,0.76,2080886,6296
ERR4682782_bin.39.fa,92.74,2.34,3560027,21570
ERR4682782_bin.4.fa,87.19,3.98,1901973,9809
ERR4682782_bin.40.fa,70.69,2.59,1615014,5796
ERR4682782_bin.41.fa,81.59,0.0,1546022,8831
ERR4682782_bin.43.fa,84.83,2.14,4119326,10273
ERR4682782_bin.44.fa,83.64,0.57,3342515,6663
ERR4682782_bin.47.fa,89.11,2.17,3280226,6224
ERR4682782_bin.48.fa,85.42,1.57,3103214,9198
ERR4682782_bin.5.fa,81.42,3.01,3340507,8001
ERR4682782_bin.52.fa,60.5,1.72,2950263,3720
ERR4682782_bin.54.fa,52.82,0.0,2975907,9074
ERR4682782_bin.55.fa,96.48,3.05,3826500,105633
ERR4682782_bin.56.fa,52.47,0.0,5833131,2048
ERR4682782_bin.58.fa,68.91,2.46,1357977,2267
ERR4682782_bin.6.fa,69.89,2.66,1181074,2645
ERR4682782_bin.7.fa,74.17,2.19,2938176,4310
ERR4682782_bin.8.fa,64.91,0.88,2357037,3273
ERR4682782_bin.9.fa,60.66,0.86,2408133,9432
ERR4682823_bin.1.fa,82.49,5.05,1851918,4219
ERR4682823_bin.11.fa,66.02,2.54,1678005,4357
ERR4682823_bin.12.fa,79.86,3.57,1900174,2410
ERR4682823_bin.16.fa,87.6,5.75,2544733,4186
ERR4682823_bin.17.fa,92.52,3.57,1833199,13084
ERR4682823_bin.18.fa,97.69,2.31,1691929,14969
ERR4682823_bin.20.fa,82.02,1.58,1994527,3158
ERR4682823_bin.21.fa,88.7,0.93,1535549,9059
ERR4682823_bin.22.fa,84.61,5.54,2947951,4456
ERR4682823_bin.23.fa,71.06,3.36,2153722,4898
ERR4682823_bin.24.fa,78.6,4.42,1632301,2986
ERR4682823_bin.25.fa,80.15,3.6,1666227,3178
ERR4682823_bin.26.fa,61.2,0.93,560168,8317
ERR4682823_bin.27.fa,79.06,5.17,1588043,4544
ERR4682823_bin.28.fa,82.78,5.46,2355546,3072
ERR4682823_bin.31.fa,93.68,2.7,1877624,5310
ERR4682823_bin.32.fa,64.68,1.21,1431124,2463
ERR4682823_bin.33.fa,60.03,1.96,1104382,1672
ERR4682823_bin.37.fa,81.01,6.11,2179729,3708
ERR4682823_bin.39.fa,56.71,0.73,1940744,1914
ERR4682823_bin.4.fa,91.37,1.9,1732021,6618
ERR4682823_bin.40.fa,53.45,0.0,1788057,3045
ERR4682823_bin.44.fa,81.39,2.81,1540185,5597
ERR4682823_bin.46.fa,92.75,1.02,2216790,6249
ERR4682823_bin.48.fa,88.87,5.15,1776665,7149
ERR4682823_bin.49.fa,69.34,1.55,2140570,2106
ERR4682823_bin.5.fa,92.82,6.6,2105902,10106
ERR4682823_bin.50.fa,81.39,2.01,2223229,8040
ERR4682823_bin.52.fa,88.24,0.99,1681316,6268
ERR4682823_bin.53.fa,73.16,1.98,983361,9171
ERR4682823_bin.54.fa,91.89,4.6,2038141,3482
ERR4682823_bin.7.fa,84.22,5.85,2260160,5560
ERR4682823_bin.8.fa,61.22,0.0,1124836,14316
ERR4682835_bin.1.fa,69.71,1.92,1714153,7853
ERR4682835_bin.11.fa,97.7,1.43,3849437,140546
ERR4682835_bin.12.fa,91.53,1.76,2233404,6961
ERR4682835_bin.14.fa,92.01,4.53,1837605,4931
ERR4682835_bin.17.fa,95.5,1.02,2445083,48172
ERR4682835_bin.18.fa,65.71,1.03,2443325,3603
ERR4682835_bin.19.fa,68.96,1.29,1243398,2441
ERR4682835_bin.2.fa,59.83,0.0,2484217,5420
ERR4682835_bin.21.fa,91.01,1.59,1951324,5125
ERR4682835_bin.22.fa,69.78,2.78,1879920,3364
ERR4682835_bin.26.fa,51.62,0.0,1080374,4541
ERR4682835_bin.27.fa,92.43,1.59,1825703,27989
ERR4682835_bin.28.fa,88.71,3.36,1946420,10537
ERR4682835_bin.29.fa,94.81,0.7,2105371,25418
ERR4682835_bin.3.fa,94.7,3.11,2542016,10823
ERR4682835_bin.30.fa,94.16,7.54,2730776,13905
ERR4682835_bin.31.fa,56.84,0.0,1010437,8544
ERR4682835_bin.32.fa,86.58,2.5,1444837,5923
ERR4682835_bin.33.fa,73.77,3.89,1697274,2765
ERR4682835_bin.34.fa,94.99,6.62,2177874,9754
ERR4682835_bin.35.fa,91.12,1.53,1826830,13867
ERR4682835_bin.36.fa,89.71,2.3,2166734,6166
ERR4682835_bin.37.fa,74.14,0.0,2790347,8971
ERR4682835_bin.39.fa,67.24,1.72,2376506,12215
ERR4682835_bin.4.fa,98.02,1.03,3323787,67266
ERR4682835_bin.42.fa,66.71,2.87,1832476,4138
ERR4682835_bin.44.fa,84.98,6.5,2934866,6351
ERR4682835_bin.45.fa,95.88,0.5,1748223,14897
ERR4682835_bin.46.fa,83.74,0.96,2298904,7525
ERR4682835_bin.47.fa,84.6,4.06,1962622,3307
ERR4682835_bin.48.fa,85.16,2.52,1887708,4425
ERR4682835_bin.49.fa,82.75,3.46,1643873,8520
ERR4682835_bin.5.fa,84.68,0.11,2115587,9403
ERR4682835_bin.52.fa,72.41,3.82,2480561,6156
ERR4682835_bin.53.fa,91.24,4.14,1984326,10636
ERR4682835_bin.54.fa,85.98,4.68,1622789,4597
ERR4682835_bin.59.fa,72.98,0.0,2668987,5522
ERR4682835_bin.6.fa,91.41,3.47,1904222,11118
ERR4682835_bin.61.fa,83.15,2.72,3202678,7612
ERR4682835_bin.62.fa,75.86,1.75,1393745,9752
ERR4682835_bin.63.fa,52.59,0.0,1335375,9463
ERR4682835_bin.64.fa,52.54,0.15,1446950,6087
ERR4682835_bin.65.fa,72.29,2.5,2327169,8758
ERR4682835_bin.66.fa,76.39,2.91,2187410,4980
ERR4682835_bin.68.fa,65.67,1.72,1842364,19146
ERR4682835_bin.71.fa,66.39,1.26,458715,2361
ERR4682835_bin.9.fa,97.92,1.98,3275683,9459
ERR8977345_bin.1.fa,63.28,2.27,2066214,4633
ERR8977345_bin.11.fa,96.81,0.98,2469204,36212
ERR8977345_bin.12.fa,87.71,2.5,1662975,8621
ERR8977345_bin.13.fa,86.16,3.96,1825320,9102
ERR8977345_bin.16.fa,75.1,3.02,1741402,5147
ERR8977345_bin.18.fa,80.22,5.6,1401124,1864
ERR8977345_bin.19.fa,92.59,4.49,1828694,8412
ERR8977345_bin.20.fa,88.9,5.73,1633197,7335
ERR8977345_bin.23.fa,87.57,1.79,2204772,16100
ERR8977345_bin.24.fa,99.91,1.97,1752477,15261
ERR8977345_bin.27.fa,73.45,2.36,1488266,5682
ERR8977345_bin.28.fa,91.09,3.67,2680826,5199
ERR8977345_bin.29.fa,87.46,1.63,2245262,5114
ERR8977345_bin.32.fa,88.91,3.41,2251826,3373
ERR8977345_bin.34.fa,65.35,0.36,1779900,2323
ERR8977345_bin.36.fa,59.08,0.0,1125680,1827
ERR8977345_bin.37.fa,57.21,0.0,2579806,4082
ERR8977345_bin.4.fa,67.24,2.59,2568765,6062
ERR8977345_bin.5.fa,94.94,8.47,2060729,4850
ERR8977345_bin.6.fa,92.29,0.51,1836949,16773
ERR8977345_bin.7.fa,93.01,1.08,2833455,4727
ERR8977345_bin.8.fa,80.39,3.85,1911117,7758
ERR8977360_bin.1.fa,75.59,1.6,2033950,4096
ERR8977360_bin.10.fa,86.85,2.41,2249449,5762
ERR8977360_bin.11.fa,86.1,5.3,1703489,7317
ERR8977360_bin.13.fa,87.89,4.34,1945548,8328
ERR8977360_bin.14.fa,70.42,3.74,1322970,8517
ERR8977360_bin.15.fa,83.19,4.81,2060792,5358
ERR8977360_bin.16.fa,91.04,1.46,1851989,21118
ERR8977360_bin.17.fa,81.1,2.14,1279660,2688
ERR8977360_bin.18.fa,75.29,0.31,1102857,2266
ERR8977360_bin.19.fa,84.07,1.42,1615960,5463
ERR8977360_bin.24.fa,96.36,4.49,1777618,5525
ERR8977360_bin.25.fa,79.17,1.77,1232976,5480
ERR8977360_bin.27.fa,55.91,0.29,1315072,2020
ERR8977360_bin.28.fa,68.28,2.59,2282503,5456
ERR8977360_bin.29.fa,75.16,3.21,1726127,6416
ERR8977360_bin.3.fa,84.82,1.85,1458494,6012
ERR8977360_bin.30.fa,91.1,4.66,2565765,8358
ERR8977360_bin.31.fa,86.72,3.27,2316995,6575
ERR8977360_bin.32.fa,88.91,5.21,3249700,5527
ERR8977360_bin.33.fa,70.62,1.2,1063970,2211
ERR8977360_bin.34.fa,82.49,2.94,4747518,15022
ERR8977360_bin.35.fa,97.44,0.43,2340732,33447
ERR8977360_bin.36.fa,92.34,2.4,2212352,5641
ERR8977360_bin.37.fa,69.6,3.67,1910978,2253
ERR8977360_bin.38.fa,86.04,6.8,2003542,4610
ERR8977360_bin.39.fa,68.72,2.61,2626390,3855
ERR8977360_bin.42.fa,76.72,1.98,1763328,2611
ERR8977360_bin.43.fa,74.03,4.32,1884035,3821
ERR8977360_bin.45.fa,98.81,0.79,3019590,16212
ERR8977360_bin.47.fa,62.66,0.51,1035108,1885
ERR8977360_bin.6.fa,90.61,0.81,2833500,6594
ERR8977360_bin.7.fa,76.15,5.06,1715335,8083
ERR8977360_bin.9.fa,90.88,3.28,1708177,8805
ERR8977404_bin.10.fa,89.39,4.25,2336673,7298
ERR8977404_bin.11.fa,81.5,0.0,1965743,12504
ERR8977404_bin.12.fa,90.06,4.3,2044481,10299
ERR8977404_bin.13.fa,86.27,2.26,2349232,7065
ERR8977404_bin.15.fa,73.28,0.0,1556711,7369
ERR8977404_bin.17.fa,79.73,3.24,1874079,8583
ERR8977404_bin.19.fa,73.98,3.83,3820998,3131
ERR8977404_bin.2.fa,88.74,2.15,6349836,7704
ERR8977404_bin.20.fa,93.59,3.05,9777712,14892
ERR8977404_bin.21.fa,98.08,4.22,5730224,18042
ERR8977404_bin.3.fa,94.59,2.5,1687604,13467
ERR8977404_bin.5.fa,70.64,0.0,2470492,10583
ERR8977404_bin.7.fa,86.43,3.01,2130036,7162
ERR8977404_bin.8.fa,89.64,1.27,4577196,4939
ERR8977404_bin.9.fa,87.53,1.57,2486895,5790
ERR8977421_bin.1.fa,66.53,2.11,1448034,4027
ERR8977421_bin.10.fa,92.77,2.34,1659755,6936
ERR8977421_bin.11.fa,61.09,0.18,953011,1776
ERR8977421_bin.13.fa,72.83,3.34,1628245,2504
ERR8977421_bin.14.fa,84.62,5.24,1915692,4208
ERR8977421_bin.16.fa,87.77,4.64,2984030,5590
ERR8977421_bin.17.fa,84.48,1.72,2981146,10222
ERR8977421_bin.18.fa,65.02,0.43,634615,36941
ERR8977421_bin.19.fa,88.29,4.82,1752017,10513
ERR8977421_bin.2.fa,86.66,4.85,2380928,4774
ERR8977421_bin.20.fa,71.52,2.81,2590638,5570
ERR8977421_bin.21.fa,71.34,1.05,1873014,3812
ERR8977421_bin.22.fa,94.05,1.19,3010358,13621
ERR8977421_bin.24.fa,57.52,0.69,653842,5766
ERR8977421_bin.26.fa,62.93,1.72,1472646,4099
ERR8977421_bin.27.fa,90.56,4.1,2092489,4424
ERR8977421_bin.28.fa,78.32,3.0,3213000,4805
ERR8977421_bin.29.fa,83.61,6.55,2149583,6868
ERR8977421_bin.3.fa,97.3,0.95,2464100,21783
ERR8977421_bin.30.fa,81.94,4.2,1890964,3659
ERR8977421_bin.32.fa,73.78,3.79,3784797,5881
ERR8977421_bin.34.fa,71.8,2.33,2007069,8250
ERR8977421_bin.35.fa,90.03,3.23,1839841,10787
ERR8977421_bin.4.fa,82.97,4.66,2185942,4529
ERR8977421_bin.41.fa,74.64,1.07,985856,1878
ERR8977421_bin.6.fa,87.75,3.78,2282588,3211
ERR8977421_bin.7.fa,88.26,4.27,1644991,6467
ERR8977421_bin.9.fa,70.73,2.75,1475771,5711
ERR8977433_bin.1.fa,73.31,4.22,1560862,3310
ERR8977433_bin.10.fa,74.05,4.38,2345591,8080
ERR8977433_bin.12.fa,92.79,7.62,2821347,5132
ERR8977433_bin.13.fa,94.17,1.09,1871126,21036
ERR8977433_bin.14.fa,99.36,0.0,2730990,50096
ERR8977433_bin.17.fa,90.34,2.79,2185899,4092
ERR8977433_bin.19.fa,77.95,0.69,1959095,4991
ERR8977433_bin.2.fa,97.69,4.13,3824949,105904
ERR8977433_bin.20.fa,92.54,3.97,2208960,5884
ERR8977433_bin.21.fa,57.19,0.0,753868,18739
ERR8977433_bin.22.fa,89.56,1.02,1779756,14547
ERR8977433_bin.23.fa,84.02,1.4,1640543,15083
ERR8977433_bin.24.fa,84.27,0.0,1434555,13694
ERR8977433_bin.27.fa,81.95,1.27,1494560,5571
ERR8977433_bin.28.fa,90.61,3.87,2381647,11053
ERR8977433_bin.29.fa,99.05,1.27,2016685,12436
ERR8977433_bin.32.fa,84.71,0.94,1935221,2982
ERR8977433_bin.35.fa,93.26,1.69,2008010,7984
ERR8977433_bin.37.fa,64.59,0.0,712726,30640
ERR8977433_bin.38.fa,88.62,4.21,2436315,10650
ERR8977433_bin.4.fa,69.31,2.59,3587385,6379
ERR8977433_bin.40.fa,72.78,3.74,1710843,4418
ERR8977433_bin.41.fa,93.87,1.8,2202609,10492
ERR8977433_bin.43.fa,77.29,4.33,1703936,3766
ERR8977433_bin.44.fa,97.02,0.5,2595447,29768
ERR8977433_bin.45.fa,85.3,4.18,1445566,6842
ERR8977433_bin.47.fa,67.78,2.64,1533939,6041
ERR8977433_bin.48.fa,68.15,2.35,1190706,2316
ERR8977433_bin.49.fa,95.66,1.45,1968269,14821
ERR8977433_bin.5.fa,59.04,1.72,1516180,13588
ERR8977433_bin.8.fa,65.52,0.0,1879595,5508
SRR14932479_bin.1.fa,98.96,0.99,3422963,41753
SRR14932479_bin.10.fa,97.04,1.69,2832246,9568
SRR14932479_bin.11.fa,98.66,1.02,3982584,31606
SRR14932479_bin.12.fa,82.03,3.28,3342460,7339
SRR14932479_bin.13.fa,63.73,0.82,2239741,6489
SRR14932479_bin.15.fa,60.99,0.99,805548,4108
SRR14932479_bin.19.fa,91.45,1.36,3457163,9326
SRR14932479_bin.2.fa,71.67,1.86,3389150,5917
SRR14932479_bin.20.fa,71.84,1.14,2759609,2330
SRR14932479_bin.22.fa,53.45,0.0,1859977,3165
SRR14932479_bin.23.fa,78.42,2.4,3041683,10053
SRR14932479_bin.24.fa,91.32,0.71,2756087,12346
SRR14932479_bin.27.fa,89.86,2.57,3493014,5239
SRR14932479_bin.28.fa,88.95,2.22,4000429,24630
SRR14932479_bin.3.fa,86.82,2.93,2161593,5687
SRR14932479_bin.32.fa,91.85,1.49,4976311,10803
SRR14932479_bin.33.fa,78.69,3.84,2929702,2747
SRR14932479_bin.36.fa,65.47,1.41,2051988,3479
SRR14932479_bin.4.fa,85.32,3.38,3105381,4534
SRR14932479_bin.7.fa,94.81,1.3,2496779,13796
